Team_Name,Logo_URL
Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/301px-Atlanta_Hawks_logo.svg.png
Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/243px-Boston_Celtics.svg.png
Brooklyn Nets,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Brooklyn_Nets_primary_icon_logo_2024.svg/316px-Brooklyn_Nets_primary_icon_logo_2024.svg.png
Charlotte Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/270px-Charlotte_Hornets_%282014%29.svg.png
Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/239px-Chicago_Bulls_logo.svg.png
Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cleveland_Cavaliers_logo.svg/1024px-Cleveland_Cavaliers_logo.svg.png
Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Logo_of_the_Detroit_Pistons.svg/1024px-Logo_of_the_Detroit_Pistons.svg.png
Indiana Pacers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/263px-Indiana_Pacers.svg.png
Miami Heat,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png
Milwaukee Bucks,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/284px-Milwaukee_Bucks_logo.svg.png
New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/250px-New_York_Knicks_logo.svg.png
Orlando Magic,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Orlando_Magic_logo.svg/345px-Orlando_Magic_logo.svg.png
Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/220px-Philadelphia_76ers_logo.svg.png
Toronto Raptors,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/303px-Toronto_Raptors_logo.svg.png
Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/254px-Washington_Wizards_logo.svg.png
Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/248px-Dallas_Mavericks_logo.svg.png
Denver Nuggets,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/300px-Denver_Nuggets.svg.png
Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/230px-Golden_State_Warriors_logo.svg.png
Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/224px-Houston_Rockets.svg.png
LA Clippers,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Los_Angeles_Clippers_%282024%29.svg/316px-Los_Angeles_Clippers_%282024%29.svg.png
Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1280px-Los_Angeles_Lakers_logo.svg.png
Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/164px-Memphis_Grizzlies.svg.png
Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Minnesota_Timberwolves_logo.svg/269px-Minnesota_Timberwolves_logo.svg.png
New Orleans Pelicans,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/New_Orleans_Pelicans_logo.svg/398px-New_Orleans_Pelicans_logo.svg.png
Oklahoma City Thunder,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/247px-Oklahoma_City_Thunder.svg.png
Phoenix Suns,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Phoenix_Suns_logo.svg/259px-Phoenix_Suns_logo.svg.png
Portland Trail Blazers,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/268px-Portland_Trail_Blazers_logo.svg.png
Sacramento Kings,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/SacramentoKings.svg/199px-SacramentoKings.svg.png
San Antonio Spurs,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/385px-San_Antonio_Spurs.svg.png
Utah Jazz,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Utah_Jazz_logo_2025.svg/384px-Utah_Jazz_logo_2025.svg.png
