Team_Name,City,State,Latitude,Longitude,Conference,Division,Logo_URL
Atlanta Hawks,Atlanta,GA,33.749,-84.388,Eastern,Southeast,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/301px-Atlanta_Hawks_logo.svg.png
Boston Celtics,Boston,MA,42.3601,-71.0589,Eastern,Atlantic,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/243px-Boston_Celtics.svg.png
Brooklyn Nets,Brooklyn,NY,40.6782,-73.9442,Eastern,Atlantic,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Brooklyn_Nets_primary_icon_logo_2024.svg/316px-Brooklyn_Nets_primary_icon_logo_2024.svg.png
Charlotte Hornets,Charlotte,NC,35.2271,-80.8431,Eastern,Southeast,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/270px-Charlotte_Hornets_%282014%29.svg.png
Chicago Bulls,Chicago,IL,41.8781,-87.6298,Eastern,Central,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/239px-Chicago_Bulls_logo.svg.png
Cleveland Cavaliers,Cleveland,OH,41.4993,-81.6944,Eastern,Central,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cleveland_Cavaliers_logo.svg/1024px-Cleveland_Cavaliers_logo.svg.png
Detroit Pistons,Detroit,MI,42.3314,-83.0458,Eastern,Central,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Logo_of_the_Detroit_Pistons.svg/1024px-Logo_of_the_Detroit_Pistons.svg.png
Indiana Pacers,Indianapolis,IN,39.7684,-86.1581,Eastern,Central,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/263px-Indiana_Pacers.svg.png
Miami Heat,Miami,FL,25.7617,-80.1918,Eastern,Southeast,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png
Milwaukee Bucks,Milwaukee,WI,43.0389,-87.9065,Eastern,Central,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/284px-Milwaukee_Bucks_logo.svg.png
